num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,2.033691978340166e-12;,1.1504299109832135e-11;
1,0,False,False,False,1.0,1.1368683772161603e-13;,6.760305380939147e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.337452083121456e-11;
1,0,False,False,False,1.0,2.44719995809168e-11;,6.558459564010244e-12;
1,0,False,False,False,1.0,3.3106106863126654e-11;,1.7938039421384038e-11;
1,0,False,False,False,1.0,4.547473508864641e-13;,9.094947017729282e-12;
1,0,False,False,False,1.0,0.0;,1.324244274525066e-11;
1,0,False,False,False,1.0,1.664617818496692e-09;,1.1504299109832135e-11;
1,0,False,False,False,1.0,3.3101304567717745e-10;,6.62122137262533e-12;
1,0,False,False,False,1.0,1.1368683772161603e-13;,1.2862197421537486e-12;
1,0,False,False,False,1.0,2.2737367544323206e-13;,3.410605131648481e-12;
1,0,False,False,False,1.0,5.784531091304235e-10;,9.094947017729282e-12;
1,0,False,False,False,1.0,4.792547358597278e-10;,7.103380699760832e-12;
1,0,False,False,False,1.0,0.0;,1.1647215137477994e-11;
1,0,False,False,False,1.0,8.580155856231252e-12;,4.897778860262864e-12;
1,0,False,False,False,1.0,5.85759778481756e-11;,1.5647538506605318e-11;
1,0,False,False,False,1.0,8.517261280534989e-11;,7.71731845292249e-12;
1,0,False,False,False,1.0,1.9609895332963332e-10;,3.858659226461245e-12;
1,0,False,False,False,1.0,0.0;,1.6370904631912708e-11;
1,0,False,False,False,1.0,0.0;,1.1395935949750917e-11;
1,0,False,False,False,1.0,0.0;,4.897778860262864e-12;
1,0,False,False,False,1.0,7.524660319858614e-11;,4.897778860262864e-12;
1,0,False,False,False,1.0,4.386897985926848e-11;,2.8760747774580336e-12;
1,0,False,False,False,1.0,2.033691978340166e-12;,1.19625350980331e-11;
1,0,False,False,False,1.0,6.420098656051617e-12;,7.823769253302659e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,8.134767913360665e-12;
1,0,False,False,False,1.0,0.0;,9.795557720525728e-12;
1,0,False,False,False,1.0,5.475883235154604e-12;,9.374856803373543e-12;
1,0,False,False,False,1.0,0.0;,6.821210263296962e-12;
1,0,False,False,False,1.0,3.2955851442226844e-11;,1.1064480586898243e-11;
1,0,False,False,False,1.0,6.821210263296962e-13;,7.499885442698834e-12;
1,0,False,False,False,1.0,7.1901869436450835e-12;,1.4380373887290168e-12;
1,0,False,False,False,1.0,4.3310668647560174e-10;,1.0219175716994974e-11;
1,0,False,False,False,1.0,4.067383956680332e-12;,9.140308630886366e-12;
1,0,False,False,False,1.0,0.0;,1.1504299109832135e-11;
1,0,False,False,False,1.0,3.4022031781829673e-10;,1.0606439709309235e-11;
1,0,False,False,False,1.0,7.87591035643638e-10;,1.1737856311029015e-11;
1,0,False,False,False,1.0,0.0;,1.3116919128020487e-11;
1,0,False,False,False,1.0,1.1371593782773583e-10;,5.4569682106375694e-12;
1,0,False,False,False,1.0,4.526107031186798e-12;,5.956365793021967e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,3.885363069147175e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,3.0505379675102492e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,3.637978807091713e-12;
1,0,False,False,False,1.0,7.279509460923746e-13;,7.059577317822925e-12;
1,0,False,False,False,1.0,6.821210263296962e-13;,6.558459564010244e-12;
1,0,False,False,False,1.0,6.821210263296962e-13;,1.4559018921847493e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,2.7284841053187847e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,9.495403454739563e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.3853010579375966e-11;
1,0,False,False,False,1.0,0.0;,7.77072613829435e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.7565260273684513e-11;
1,0,False,False,False,1.0,0.0;,7.499885442698834e-12;
1,0,False,False,False,1.0,0.0;,9.837689346015367e-12;
1,0,False,False,False,1.0,0.0;,5.752149554916067e-12;
1,0,False,False,False,1.0,5.730610569474055e-10;,3.310610686312665e-12;
1,0,False,False,False,1.0,0.0;,9.140308630886366e-12;
1,0,False,False,False,1.0,0.0;,1.0645362554641566e-11;
1,0,False,False,False,1.0,4.636291350834654e-13;,8.385126836667848e-12;
1,0,False,False,False,1.0,2.009139464860211e-11;,8.687935939880299e-12;
1,0,False,False,False,1.0,1.5118212295309867e-11;,8.735411353108496e-12;
1,0,False,False,False,1.0,1.1368683772161603e-13;,0.0;
1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-12;
1,0,False,False,False,1.0,2.870677072148579e-11;,6.558459564010244e-12;
1,0,False,False,False,1.0,2.033691978340166e-12;,1.8749713606747085e-12;
1,0,False,False,False,1.0,0.0;,3.637978807091713e-12;
1,0,False,False,False,1.0,0.0;,1.3116919128020487e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,3.6662903532026344e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,5.532240293449121e-12;
1,0,False,False,False,1.0,2.1903532940618417e-11;,4.067383956680332e-12;
1,0,False,False,False,1.0,3.221011150701958e-11;,6.1010759350204984e-12;
1,0,False,False,False,1.0,0.0;,6.1010759350204984e-12;
1,0,False,False,False,1.0,0.0;,1.1504299109832135e-11;
1,0,False,False,False,1.0,0.0;,1.0913936421275139e-11;
1,0,False,False,False,1.0,1.0337230082021e-09;,3.310610686312665e-12;
1,0,False,False,False,1.0,0.0;,1.8189894035458565e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,8.385126836667848e-12;
1,0,False,False,False,1.0,3.243429493031356e-10;,4.547473508864641e-12;
1,0,False,False,False,1.0,0.0;,3.6662903532026344e-12;
1,0,False,False,False,1.0,0.0;,2.033691978340166e-12;
